Emisii_Totale_tone_CO2,Intrebarea_0,Intrebarea_1,Intrebarea_2,Intrebarea_3,Intrebarea_4,Intrebarea_5,Intrebarea_6,Intrebarea_7,Intrebarea_8,Intrebarea_9,Intrebarea_10,Intrebarea_11,Intrebarea_12,Intrebarea_13,Intrebarea_14,Intrebarea_15,Intrebarea_16,Intrebarea_17,Intrebarea_18,Intrebarea_19,Intrebarea_20,Intrebarea_21,Intrebarea_22,Intrebarea_23,Intrebarea_24,Intrebarea_25,Intrebarea_26,Intrebarea_27,Intrebarea_28
5.4,4,Centrală proprie,257,100,,,,,100,800,800,800,Da,Hibrid,10000,2,20,Niciodată,7,Da,1,Foarte des,7,1,Uneori,26,Lunar,1,Da
4.7,3,Centrală proprie,200,200,,,,,0,100,100,100,Da,Hibrid,2000,3,10,Uneori,1,Da,1,Foarte des,5,3,Uneori,6,Trimestrial,2,Da
4.2,3,Centrală proprie,30,20,,,,,10,200,300,180,Da,Hibrid,10000,2,20,Uneori,3,Da,3,Foarte des,3,1,Uneori,15,Trimestrial,2,Nu
4.5,3,Centrală proprie,50,20,,,,,0,200,300,200,Da,Hibrid,30000,2,10,Niciodată,3,Da,2,Foarte des,4,1,Uneori,15,Trimestrial,1,Nu
3.6,3,Centrală proprie,55,30,,,,,0,400,1300,700,Da,Electric,20000,3,0,Niciodată,5,Da,1,Foarte des,5,0,Niciodată,5,Lunar,1,Nu
6,4,Centrală proprie,60,8,,,,,0,350,180,200,Da,Hibrid,7500,3,60,Uneori,1,Da,1,Des,2,1,Uneori,15,Trimestrial,1,Da
3.4,4,Centralizat,,,90,10,3,,15,45,50,30,Da,Combustibil fosil,10000,3,6,Uneori,10,Da,7,Foarte des,2,1,Rareori,5,Anual,1,Da
6.2,5,Centralizat,,,150,10,1,,0,100,500,400,Da,Combustibil fosil,10000,4,30,Niciodată,7,Da,1,Foarte des,7,3,Uneori,7,Lunar,2,Nu
5,3,Centralizat,,,100,5,3,,0,250,350,200,Da,Combustibil fosil,15000,2,10,Niciodată,3,Da,2,Des,2,2,Rareori,12,Trimestrial,1,Nu
5.5,6,Sobă și butelie,,,,,10,100,30,200,100,250,Nu,,,,0,Zilnic,5,Nu,,Des,15,5,Uneori,12,Trimestrial,10,Da
2.4,10,Centrală proprie,10,5,,,,,0,200,300,250,Da,Combustibil fosil,30000,7,0,Niciodată,3,Da,1,Foarte des,3,1,Rareori,20,Trimestrial,2,Da
2.2,10,Centrală proprie,10,5,,,,,0,200,300,250,Da,Combustibil fosil,30000,7,0,Niciodată,3,Da,1,Foarte des,2,1,Rareori,20,Trimestrial,2,Da
3.5,10,Centrală proprie,10,5,,,,,0,200,300,250,Da,Combustibil fosil,30000,7,0,Niciodată,3,Da,1,Niciodată,17,1,Rareori,20,Trimestrial,0,Da
2.6,5,Centrală proprie,200,100,,,,,0,85,150,90,Da,Combustibil fosil,2500,4,0,Uneori,3,Da,3,Des,4,2,Rareori,4,Anual,2,Da
2.4,10,Centrală proprie,10,5,,,,,0,200,300,250,Da,Combustibil fosil,30000,7,0,Niciodată,3,Da,1,Foarte des,3,1,Rareori,20,Trimestrial,2,Da
2.7,5,Centrală proprie,150,100,,,,,0,100,200,150,Da,Combustibil fosil,3000,4,0,Uneori,3,Da,3,Foarte des,4,2,Rareori,4,Anual,3,Da
2.7,10,Centrală proprie,10,5,,,,,0,200,300,250,Da,Combustibil fosil,30000,7,0,Niciodată,3,Da,1,Foarte des,4,1,Rareori,20,Trimestrial,3,Da
3.6,5,Centrală proprie,450,200,,,,,0,150,300,200,Da,Combustibil fosil,3000,4,0,Uneori,3,Da,3,Foarte des,5,2,Niciodată,4,Anual,3,Da
3,10,Centrală proprie,10,5,,,,,0,250,300,250,Da,Combustibil fosil,30000,5,0,Niciodată,4,Da,1,Foarte des,3,2,Rareori,20,Trimestrial,2,Da
4.4,5,Centralizat,,,120,15,2,,0,300,250,250,Da,Combustibil fosil,20000,5,0,Niciodată,7,Da,5,Des,7,0,Rareori,21,Lunar,5,Da
4.9,5,Centralizat,,,180,12,6,,0,100,250,150,Da,Combustibil fosil,3000,2,0,Uneori,1,Da,1,Foarte des,7,0,Niciodată,27,Trimestrial,12,Da
2.4,5,Centrală proprie,10,5,,,,,0,180,250,180,Da,Combustibil fosil,5000,3,0,Niciodată,2,Da,1,Foarte des,5,0,Niciodată,17,Lunar,4,Da
6.7,5,Centrală proprie,10,5,,,,,0,180,250,180,Da,Combustibil fosil,5000,3,0,Niciodată,2,Da,1,Foarte des,5,10,Niciodată,20,Lunar,11,Da
2.8,10,Centrală proprie,10,5,,,,,0,250,300,300,Da,Combustibil fosil,30000,7,0,Niciodată,3,Da,1,Foarte des,3,2,Rareori,15,Trimestrial,3,Da
2.7,10,Centrală proprie,10,5,,,,,0,250,300,300,Da,Combustibil fosil,30000,7,0,Niciodată,4,Da,1,Des,3,2,Rareori,10,Trimestrial,4,Da
3.9,4,Centralizat,,,100,10,2,,0,100,200,150,Da,Combustibil fosil,10000,2,0,Frecvent,4,Da,2,Des,10,1,Rareori,7,Trimestrial,2,Da
3.9,4,Centralizat,,,100,10,2,,0,100,200,150,Da,Combustibil fosil,10000,2,0,Frecvent,4,Da,2,Des,10,1,Rareori,7,Trimestrial,2,Da
3.7,4,Centralizat,,,100,8,2,,75,100,200,150,Da,Combustibil fosil,10000,2,0,Frecvent,4,Da,2,Des,10,1,Rareori,7,Trimestrial,2,Da
3.8,4,Centralizat,,,100,8,2,,0,100,180,150,Da,Combustibil fosil,10000,2,0,Frecvent,4,Da,2,Des,10,1,Rareori,7,Trimestrial,2,Da
3.8,4,Centralizat,,,100,8,2,,0,100,150,120,Da,Combustibil fosil,10000,2,0,Frecvent,4,Da,2,Des,10,1,Rareori,7,Trimestrial,2,Da
3.8,4,Centralizat,,,100,8,2,,0,100,150,120,Da,Combustibil fosil,10000,2,0,Frecvent,4,Da,2,Des,10,1,Rareori,7,Trimestrial,2,Da
3.8,7,Sobă și butelie,,,,,15,50,2,470,500,480,Da,Combustibil fosil,20000,7,5,Uneori,1,Da,1,Des,21,0,Rareori,5,Trimestrial,1,Nu
4.7,4,Centrală proprie,110,60,,,,,0,114,139,120,Da,Combustibil fosil,10000,3,6,Niciodată,4,Da,1,Foarte des,14,1,Rareori,7,Trimestrial,6,Da
2.8,4,Centralizat,,,60,10,1,,0,350,450,350,Da,Combustibil fosil,10000,4,0,Zilnic,1,Da,1,Foarte des,7,0,Uneori,7,Lunar,2,Da
2.2,6,Centrală proprie,550,5,,,,,30,87,130,92,Da,Combustibil fosil,2300,4,0,Frecvent,3,Da,1,Foarte des,5,1,Rareori,8,Trimestrial,1,Da
2.7,4,Centrală proprie,600,5,,,,,31,88,130,92,Da,Combustibil fosil,2300,4,0,Frecvent,3,Da,1,Foarte des,5,1,Rareori,8,Trimestrial,1,Da
12.2,3,Centrală proprie,2500,100,,,,,50,150,2500,1500,Nu,,,,0,Uneori,10,Da,15,Uneori,4,5,Rareori,6,Lunar,7,Da
5.7,9,Sobă și butelie,,,,,1,50,51,90,130,110,Da,Combustibil fosil,20000,2,0,Uneori,2,Da,1,Foarte des,15,4,Niciodată,16,Trimestrial,7,Da
1.9,12,Centrală proprie,600,5,,,,,31,88,130,92,Da,Combustibil fosil,2300,4,0,Frecvent,3,Da,1,Foarte des,6,1,Rareori,8,Trimestrial,1,Da
2.7,6,Centrală proprie,600,5,,,,,31,88,132,90,Da,Combustibil fosil,2500,4,0,Uneori,6,Da,1,Foarte des,7,1,Uneori,8,Trimestrial,1,Da
7.5,1,Sobă și butelie,,,,,2,500,0,150,250,200,Da,Combustibil fosil,50000,2,0,Frecvent,2,Da,1,Des,8,0,Rareori,7,Trimestrial,0,Da
5.1,9,Sobă și butelie,,,,,1,50,50,100,130,100,Da,Combustibil fosil,20000,2,0,Uneori,3,Da,1,Foarte des,11,4,Uneori,14,Trimestrial,6,Da
5.7,4,Centralizat,,,100,8,2,,0,150,250,200,Da,Combustibil fosil,50000,2,0,Frecvent,2,Da,1,Des,10,0,Rareori,5,Lunar,1,Da
4.1,5,Centrală proprie,250,96,,,,,57,30,140,40,Nu,,,,0,Uneori,3,Da,1,Uneori,10,2,Rareori,15,Lunar,6,Da
2.3,2,Centrală proprie,150,70,,,,,0,50,100,70,Da,Combustibil fosil,500,2,0,Niciodată,2,Da,1,Uneori,4,0,Rareori,4,Trimestrial,0,Nu
1.9,2,Individual (gas) boiler,140,33,,,,,0,70,100,80,Yes,Combustibil fosil,600,2,0,Never,2,Yes,1,Sometimes,3,0,Rareori,4,Quarterly,1,No
2.8,2,District (central) heating,,,40,1,1,,10,50,60,50,Yes,Combustibil fosil,10000,2,4,Never,1,Yes,1,Very Often,0,0,Rareori,2,Quarterly,6,No
7.6,2,Centralizat,,,70,25,20,,0,200,200,50,Da,Combustibil fosil,15000,2,25,Zilnic,3,Da,2,Des,7,2,Rareori,15,Săptămânal,2,Da
3.3,2,Centrală proprie,12,7,,,,,0,113,200,154,Da,Combustibil fosil,16000,2,6,Niciodată,1,Da,1,Des,4,1,Rareori,10,Trimestrial,0,Nu
8.3,1,District (central) heating,,,30,5,7,,10,150,200,130,No,,,,30,Sometimes,3,No,,Sometimes,5,3,Sometimes,20,Monthly,12,No
9,4,Centralizat,,,82,4,3,,20,180,140,160,Da,Hibrid,20000,1,40,Niciodată,10,Nu,,Rar,8,4,Frecvent,7,Lunar,5,Nu
5.4,3,Centralizat,,,60,20,5,,0,300,100,200,Da,Combustibil fosil,1000,2,8,Frecvent,4,Da,4,Des,12,4,Uneori,4,Trimestrial,2,Nu
4,1,Centrală proprie,106,15,,,,,0,40,127,55,Nu,,,,8,Uneori,2,Nu,,Foarte des,5,1,Rareori,5,Trimestrial,4,Nu
6.4,3,Centrală proprie,250,30,,,,,0,300,200,200,Da,Hibrid,15000,2,19,Uneori,1,Da,1,Des,18,1,Rareori,10,Trimestrial,5,Nu
6.5,3,Centrală proprie,400,400,,,,,47,40,30,30,Da,Combustibil fosil,12000,2,1,Niciodată,1,Da,1,Uneori,3,5,Uneori,9,Lunar,0,Nu
7,2,Centrală proprie,1000,50,,,,,100,100,100,100,Da,Hibrid,10000,1,10,Uneori,1,Da,1,Foarte des,4,0,Rareori,30,Anual,2,Nu
17.6,2,Centrală proprie,3000,230,,,,,0,124,120,120,Da,Combustibil fosil,20000,2,50,Uneori,3,Da,1,Des,2,2,Uneori,1,Trimestrial,1,Da
10.3,4,Centrală proprie,10,5,,,,,4,30,30,30,Da,Electric,20000,1,50,Niciodată,4,Da,2,Foarte des,21,6,Niciodată,30,Trimestrial,5,Da
7.3,4,Centrală proprie,20,20,,,,,35,30,30,30,Da,Hibrid,200,2,0,Niciodată,5,Da,5,Des,10,10,Frecvent,11,Săptămânal,10,Da
1,1,Centralizat,,,10,1,1,,0,30,30,30,Nu,,,,1,Frecvent,1,Nu,,Foarte des,0,0,Zilnic,0,Anual,0,Nu
5.6,3,Centrală proprie,30,5,,,,,25,500,500,500,Da,Hibrid,5000,3,50,Niciodată,1,Da,1,Foarte des,1,1,Rareori,2,Anual,5,Da
2,3,Centrală proprie,10,5,,,,,46,30,30,30,Nu,,,,0,Frecvent,1,Nu,,Foarte des,4,4,Zilnic,0,Lunar,0,Nu
9.2,2,Centrală proprie,300,50,,,,,0,200,200,200,Da,Combustibil fosil,20000,2,50,Uneori,1,Da,1,Foarte des,12,3,Rareori,5,Anual,1,Nu
5.3,4,Centrală proprie,15,5,,,,,50,30,30,30,Da,Combustibil fosil,12000,4,10,Uneori,4,Da,2,Des,21,3,Uneori,10,Trimestrial,2,Nu
5.9,5,Centrală proprie,15,5,,,,,38,45,40,40,Da,Hibrid,200,2,0,Niciodată,2,Da,15,Foarte des,8,9,Frecvent,12,Lunar,6,Da
6,1,Centrală proprie,30,5,,,,,33,56,63,59,Da,Combustibil fosil,8000,1,6,Uneori,2,Da,1,Foarte des,8,3,Rareori,30,Lunar,2,Nu
3.7,4,Centralizat,,,65,4,2,,68,100,100,100,Da,Combustibil fosil,10000,4,15,Uneori,3,Da,2,Des,8,0,Rareori,2,Trimestrial,5,Da
6.5,3,Centralizat,,,85,10,1,,0,120,120,100,Da,Combustibil fosil,10000,1,10,Uneori,7,Da,1,Uneori,14,2,Uneori,10,Trimestrial,1,Nu
8,2,Centralizat,,,40,3,1,,6,200,250,100,Da,Combustibil fosil,3000,2,5,Zilnic,7,Nu,,Des,14,7,Uneori,25,Trimestrial,5,Da
7.9,3,Centrală proprie,200,20,,,,,70,500,400,400,Da,Electric,10000,2,80,Frecvent,1,Da,1,Des,5,1,Uneori,5,Trimestrial,3,Da
4.9,3,Centralizat,,,52,4,3,,10,120,150,100,Da,Combustibil fosil,15000,2,10,Niciodată,10,Da,3,Des,5,1,Frecvent,2,Anual,3,Nu
36.7,1,Centralizat,,,1000,40,10,,11,30,30,30,Nu,,,,30,Uneori,10,Nu,,Des,6,5,Frecvent,4,Trimestrial,2,Nu
3.1,3,Centralizat,,,72,8,2,,10,180,150,100,Da,Combustibil fosil,5000,1,0,Niciodată,7,Da,1,Rar,2,1,Rareori,1,Anual,1,Nu
0.8,1,Centralizat,,,10,1,1,,11,30,30,30,Nu,,,,0,Zilnic,1,Nu,,Foarte des,0,0,Zilnic,0,Trimestrial,0,Nu
0.5,3,Centralizat,,,10,1,1,,0,30,30,30,Nu,,,,0,Niciodată,1,Nu,,Des,0,0,Zilnic,0,Lunar,0,Nu
2.5,1,District (central) heating,,,10,1,1,,11,30,30,30,No,,,,0,Daily,1,No,,Very Often,3,0,Sometimes,30,Quarterly,3,No
4.2,1,Centrală proprie,25,15,,,,,10,200,150,110,Nu,,,,0,Frecvent,5,Da,2,Foarte des,3,0,Rareori,5,Trimestrial,3,Nu
6.2,1,Centrală proprie,50,15,50,2,2,50,0,100,80,60,Da,Combustibil fosil,20000,1,0,Uneori,5,Da,2,Foarte des,3,0,Rareori,3,Anual,3,Da
5.5,3,Centralizat,10,5,50,3,3,50,25,150,180,130,Da,Combustibil fosil,10000,2,8,Niciodată,10,Da,2,Des,16,1,Frecvent,6,Anual,2,Nu
